flow,origin,destination,out_ratio,CL_origin,CL_destination,CC_origin,CC_destination,S_origin,S_destination,SC_origin,SC_destination,sum_origin,sum_destination
360,191,206,0.012197601138442772,526,,1089,,171,,3308,0,5094,95
194,206,191,0.03300442327322218,,526,,1089,,171,,3308,,5094
70567,211,166,0.5486130547003762,,46,,805,,516,,2727,,4094
10646,208,166,0.7458315818971557,,46,,805,,516,,2727,,4094
2396,208,189,0.16785764326747935,,26,,1,,79,,6,,112
5258,211,147,0.04087756942500855,,501,,5512,,1048,,16994,,24055
22869,211,189,0.17779177162048698,,26,,1,,79,,6,,112
324,259,166,0.9969230769230768,,46,,805,,516,,2727,,4094
38,147,218,0.0030446278343081484,501,,5512,,1048,,16994,2727,24055,4094
448,147,221,0.0358945597307908,501,,5512,,1048,,16994,2727,24055,4094
210,147,217,0.016825574873808192,501,,5512,,1048,,16994,2727,24055,4094
106,147,206,0.008492909222017467,501,,5512,,1048,,16994,2727,24055,4094
645,147,212,0.05167855139812515,501,,5512,,1048,,16994,2727,24055,4094
5688,147,211,0.4557327137248618,501,,5512,,1048,,16994,2727,24055,4094
1,147,243,8.012178511337233e-05,501,,5512,,1048,,16994,2727,24055,4094
150,147,236,0.012018267767005849,501,,5512,,1048,,16994,2727,24055,4094
38,147,249,0.0030446278343081484,501,,5512,,1048,,16994,2727,24055,4094
24,147,253,0.0019229228427209359,501,,5512,,1048,,16994,2727,24055,4094
17329,212,166,0.6246260317918033,,46,,805,,516,,2727,,4094
4389,212,85,0.15820206899037595,,177,,3047,,1513,,14008,,18745
3017,212,189,0.10874815268716433,,26,,1,,79,,6,,112
328,215,166,0.8541666666666666,,46,,805,,516,,2727,,4094
11,215,85,0.028645833333333325,,177,,3047,,1513,,14008,,18745
26,215,189,0.06770833333333333,,26,,1,,79,,6,,112
2326,166,207,0.0071592140254112075,46,,805,,516,,2727,6,4094,112
79007,166,211,0.2431762779474047,46,,805,,516,,2727,6,4094,112
20866,166,212,0.06422362848419186,46,,805,,516,,2727,6,4094,112
337,166,215,0.0010372549985226038,46,,805,,516,,2727,6,4094,112
4032,166,206,0.012410125086181424,46,,805,,516,,2727,6,4094,112
14836,166,218,0.04566384319905447,46,,805,,516,,2727,6,4094,112
85,166,219,0.00026162218063626515,46,,805,,516,,2727,6,4094,112
4768,166,220,0.01467546537969073,46,,805,,516,,2727,6,4094,112
13105,166,217,0.04033598443809711,46,,805,,516,,2727,6,4094,112
27520,166,221,0.0847040283660002,46,,805,,516,,2727,6,4094,112
1272,166,222,0.003915098985521521,46,,805,,516,,2727,6,4094,112
5626,166,224,0.017316310450113268,46,,805,,516,,2727,6,4094,112
2184,166,227,0.006722151088348271,46,,805,,516,,2727,6,4094,112
25604,166,228,0.07880675662365802,46,,805,,516,,2727,6,4094,112
242,166,229,0.0007448537378114843,46,,805,,516,,2727,6,4094,112
78,166,230,0.00024007682458386686,46,,805,,516,,2727,6,4094,112
27,166,232,8.310351620210775e-05,46,,805,,516,,2727,6,4094,112
23795,166,233,0.07323882103811681,46,,805,,516,,2727,6,4094,112
2225,166,235,0.006848345316655176,46,,805,,516,,2727,6,4094,112
4999,166,236,0.015386462129419874,46,,805,,516,,2727,6,4094,112
575,166,240,0.0017697971043041465,46,,805,,516,,2727,6,4094,112
1890,166,223,0.005817246134147543,46,,805,,516,,2727,6,4094,112
11,166,241,3.385698808234019e-05,46,,805,,516,,2727,6,4094,112
419,166,242,0.0012896434551364132,46,,805,,516,,2727,6,4094,112
780,166,246,0.002400768245838668,46,,805,,516,,2727,6,4094,112
8,166,244,2.462326405988378e-05,46,,805,,516,,2727,6,4094,112
5699,166,248,0.01754099773465971,46,,805,,516,,2727,6,4094,112
0,166,250,0.0,46,,805,,516,,2727,6,4094,112
1,166,251,3.0779080074854724e-06,46,,805,,516,,2727,6,4094,112
4166,166,253,0.012822564759184477,46,,805,,516,,2727,6,4094,112
32,218,147,0.0021940349674322932,,501,,5512,,1048,,16994,,24055
12907,218,166,0.8849502913952692,,46,,805,,516,,2727,,4094
322,218,189,0.02207747685978745,,26,,1,,79,,6,,112
7,219,189,0.059829059829059825,,26,,1,,79,,6,,112
3491,220,166,0.9619729953155141,,46,,805,,516,,2727,,4094
72,220,85,0.019840176357123176,,177,,3047,,1513,,14008,,18745
66,220,189,0.01818682832736291,,26,,1,,79,,6,,112
608,85,207,0.0156874887117166,177,,3047,,1513,,14008,6,18745,112
7483,85,212,0.19307479939107772,177,,3047,,1513,,14008,6,18745,112
130,85,220,0.003354232783755193,177,,3047,,1513,,14008,6,18745,112
10348,85,211,0.2669969295869133,177,,3047,,1513,,14008,6,18745,112
2190,85,221,0.056505921510952864,177,,3047,,1513,,14008,6,18745,112
1,85,276,2.580179064427071e-05,177,,3047,,1513,,14008,6,18745,112
206,85,224,0.0053151688727197674,177,,3047,,1513,,14008,6,18745,112
2,85,225,5.160358128854142e-05,177,,3047,,1513,,14008,6,18745,112
728,85,217,0.01878370358902908,177,,3047,,1513,,14008,6,18745,112
195,85,227,0.005031349175632789,177,,3047,,1513,,14008,6,18745,112
2,85,232,5.160358128854142e-05,177,,3047,,1513,,14008,6,18745,112
459,85,206,0.011843021905720256,177,,3047,,1513,,14008,6,18745,112
24,85,234,0.0006192429754624971,177,,3047,,1513,,14008,6,18745,112
0,85,238,0.0,177,,3047,,1513,,14008,6,18745,112
315,85,223,0.008127564052945275,177,,3047,,1513,,14008,6,18745,112
7,85,241,0.00018061253450989497,177,,3047,,1513,,14008,6,18745,112
28,85,246,0.0007224501380395799,177,,3047,,1513,,14008,6,18745,112
0,85,242,0.0,177,,3047,,1513,,14008,6,18745,112
0,85,245,0.0,177,,3047,,1513,,14008,6,18745,112
0,85,284,0.0,177,,3047,,1513,,14008,6,18745,112
684,85,247,0.01764842480068117,177,,3047,,1513,,14008,6,18745,112
325,85,236,0.008385581959387982,177,,3047,,1513,,14008,6,18745,112
148,85,249,0.003818665015352065,177,,3047,,1513,,14008,6,18745,112
2,85,251,5.160358128854142e-05,177,,3047,,1513,,14008,6,18745,112
82,85,253,0.0021157468328301984,177,,3047,,1513,,14008,6,18745,112
58,85,254,0.001496503857367701,177,,3047,,1513,,14008,6,18745,112
442,221,147,0.011674898967220477,,501,,5512,,1048,,16994,,24055
29439,221,166,0.7775958160543067,,46,,805,,516,,2727,,4094
2091,221,85,0.0552312528064661,,177,,3047,,1513,,14008,,18745
3700,221,189,0.09773105470297684,,26,,1,,79,,6,,112
4,276,166,0.5714285714285714,,46,,805,,516,,2727,,4094
3,276,189,0.42857142857142855,,26,,1,,79,,6,,112
1520,223,166,0.8021108179419525,,46,,805,,516,,2727,,4094
144,223,189,0.07598944591029022,,26,,1,,79,,6,,112
5060,224,166,0.9379054680259499,,46,,805,,516,,2727,,4094
167,224,189,0.030954587581093606,,26,,1,,79,,6,,112
5,225,166,0.3333333333333333,,46,,805,,516,,2727,,4094
5,225,85,0.3333333333333333,,177,,3047,,1513,,14008,,18745
5,225,189,0.3333333333333333,,26,,1,,79,,6,,112
