,Nation_Name,Nation_Code
0,colombia,205
1,united kingdom,206
2,netherlands,207
3,venezuela,208
4,paraguay,209
5,aruba,210
6,united states of america,211
7,spain,212
8,bermuda,213
9,ireland,214
10,barbados,215
11,belgium,216
12,brazil,217
13,argentina,218
14,belize,219
15,france,220
16,mexico,221
17,curaã§ao,222
18,italy,223
19,germany,224
20,cayman islands,225
21,guyana,226
22,guatemala,227
23,ecuador,228
24,hong kong s.a.r.,229
25,south korea,230
26,turkey,231
27,jamaica,232
28,peru,233
29,portugal,234
30,bolivia,235
31,dominican republic,236
32,nicaragua,237
33,philippines,238
34,australia,239
35,uruguay,240
36,the bahamas,241
37,japan,242
38,haiti,243
39,trinidad and tobago,244
40,guadalupe,245
41,china,246
42,chile,247
43,costa rica,248
44,puerto rico,249
45,saint kitts and nevis,250
46,sint maarten,251
47,austria,252
48,canada,253
49,switzerland,254
50,greece,255
51,el salvador,256
52,honduras,257
53,sweden,258
54,united arab emirates,259
55,lebanon,260
56,india,261
57,hungary,262
58,norway,263
59,new zealand,264
60,panama,265
61,cuba,266
62,luxembourg,267
63,ghana,268
64,denmark,269
65,south africa,270
66,iceland,271
67,russia,272
68,israel,273
69,bonaire,274
70,suriname,275
71,qatar,276
72,guam,277
73,kuwait,278
74,turks and caicos islands,279
75,latvia,280
76,malaysia,281
77,poland,282
78,taiwan,283
79,saudi arabia,284
80,jordan,285
81,morocco,286
82,senegal,287
83,dominica,288
84,nigeria,289
85,iran,290
86,ivory coast,291
87,croatia,292
88,afghanistan,293
89,cabo verde,294
90,benin,295
91,angola,296
92,papua new guinea,297
93,martinique,298
94,british virgin islands,299
95,antigua and barbuda,300
96,saint lucia,301
97,romania,302
