flow,origin,destination,out_ratio
3047,12,147,0.03307031919858472
1071,12,116,0.011623994703539295
40341,12,166,0.4378371338333134
14400,12,85,0.15628900441733506
12025,12,191,0.1305121720915593
624,12,130,0.006772523524751186
7,12,77,7.597382159176009e-05
119,12,71,0.0012915549670599216
17438,12,189,0.18926164298815892
144,12,170,0.0015628900441733505
1191,12,86,0.012926403073683753
219,12,142,0.0023768952755136375
328,12,129,0.0035599162117281873
20,12,119,0.00021706806169074312
7,12,109,7.597382159176009e-05
6,12,74,6.512041850722294e-05
86,12,152,0.0009333926652701955
1064,12,11,0.011548020881947535
5,147,168,5.00831380090951e-05
7,147,179,7.011639321273313e-05
31,147,178,0.0003105154556563896
5,147,111,5.00831380090951e-05
5,147,36,5.00831380090951e-05
1,147,191,1.001662760181902e-05
2,147,195,2.003325520363804e-05
2398,147,116,0.02401987298916201
3,147,201,3.004988280545706e-05
3122,147,12,0.03127191137287898
65098,147,166,0.6520624236232145
4889,147,85,0.04897129234529319
718,147,130,0.007191938618106056
17,147,77,0.00017028266923092334
84,147,71,0.0008413967185527977
17434,147,189,0.17462988561011278
1252,147,170,0.012540817757477413
1206,147,86,0.012080052887793737
960,147,152,0.00961596249774626
500,147,129,0.00500831380090951
97,147,119,0.0009716128773764449
12,147,109,0.00012019953122182824
184,147,74,0.0018430594787346996
1375,147,37,0.013772862952501151
429,147,41,0.004297133241180359
20,116,47,0.0002542394427071416
4,116,116,5.084788854142832e-05
20,116,120,0.0002542394427071416
8,116,131,0.00010169577708285663
2376,116,18,0.03020364579360842
58,116,193,0.0007372943838507106
3553,116,130,0.045165636996923705
3,116,146,3.813591640607124e-05
6,116,168,7.627183281214248e-05
2,116,204,2.542394427071416e-05
864,116,86,0.010983143924948516
27,116,118,0.00034322324765464113
281,116,152,0.0035720641700353393
2634,116,195,0.03348333460453055
2373,116,147,0.03016550987720235
0,116,113,0.0
14,116,119,0.0001779676098949991
4002,116,189,0.050873312485699033
50496,116,166,0.6419037449469911
3607,116,191,0.045852083492232985
1517,116,142,0.01928406172933669
917,116,12,0.011656878448122441
3544,116,85,0.045051229247705486
83,116,71,0.0010550936872346377
383,116,170,0.004868685327841762
237,116,129,0.003012737396079628
15,116,109,0.0001906795820303562
183,116,74,0.0023262909007703454
68,116,36,0.0008644141052042814
821,116,77,0.010436529123128162
550,116,138,0.006991584674446394
148430,166,189,0.1959045224472557
65512,166,147,0.08646565434591805
6,166,166,7.919067133891628e-06
92511,166,85,0.12210013660390806
4,166,107,5.2793780892610855e-06
1457,166,67,0.0019230134690133502
34851,166,86,0.04599790144720952
7585,166,74,0.010011020701761332
4892,166,138,0.006456679403166307
4133,166,18,0.005454917410729016
48664,166,116,0.06422891383395037
0,166,193,0.0
4045,166,195,0.005338771092765272
4614,166,186,0.006089762625962661
920,166,0,0.0012142569605300495
1857,166,61,0.0024509512779394586
1973,166,137,0.00260405324252803
11626,166,77,0.015344512416437344
3607,166,95,0.004760679191991184
27002,166,170,0.03563844179155695
1773,166,31,0.002340084338064976
5,166,132,6.599222611576356e-06
968,166,73,0.0012776094976011826
688,166,66,0.0009080530313529066
14982,166,129,0.019773910633327393
1129,166,110,0.0014901044656939412
6506,166,108,0.008586908462183155
10511,166,109,0.013872885774055816
4310,166,182,0.0056885298911788194
9166,166,71,0.012097694891541777
3,166,80,3.959533566945814e-06
1,166,17,1.3198445223152714e-06
0,166,78,0.0
0,166,143,0.0
94437,166,191,0.12464215715388727
38201,166,12,0.05041938059696568
26070,166,130,0.03440834669675912
46964,166,142,0.0619851781460144
14067,166,152,0.018566252895408922
6517,166,119,0.008601426751928622
7285,166,36,0.009615067345066751
8,166,135,1.0558756178522171e-05
3071,166,76,0.004053242528030198
2963,166,158,0.003910699319620149
183,166,83,0.00024153154758369463
229,166,47,0.0003022443956101971
844,166,201,0.001113948776834089
571,166,89,0.0007536312222420199
945,166,133,0.0012472530735879314
999,166,153,0.001318524677792956
317,166,53,0.00041839071357394097
251,166,22,0.00033128097510113307
7,166,96,9.2389116562069e-06
5,166,93,6.599222611576356e-06
25289,85,189,0.13966730363513857
96801,85,166,0.5346172114035765
104,85,136,0.0005743761943158848
1300,85,135,0.00717970242894856
39,85,95,0.00021539107286845682
369,85,183,0.0020379309202169377
539,85,195,0.0029768150840025183
0,85,44,0.0
0,85,89,0.0
84,85,86,0.00046391923387052237
11,85,182,6.075132824494936e-05
4526,85,74,0.024996410148785526
3459,85,137,0.019103531309025437
1,85,85,5.522848022268123e-06
10,85,52,5.5228480222681235e-05
14024,85,12,0.07745242066428816
4986,85,147,0.027536920239028862
3504,85,116,0.019352059470027504
14113,85,191,0.07794395413827002
1706,85,130,0.009421978725989419
50,85,77,0.00027614240111340616
335,85,71,0.0018501540874598212
1383,85,170,0.0076380988147968145
3126,85,142,0.017264422917610153
775,85,152,0.004280207217257795
104,85,119,0.0005743761943158848
689,85,109,0.0038052422873427368
707,85,36,0.0039046535517435633
929,85,76,0.005130725812687086
762,85,158,0.00420841019296831
426,85,138,0.0023527332574862204
430,85,186,0.002374824649575293
270,85,133,0.0014911689660123933
215,85,73,0.0011874123247876465
34504,191,189,0.19503261471675504
2,191,147,1.1304927818035882e-05
43,191,111,0.00024305594808777145
10,191,152,5.652463909017941e-05
4134,191,116,0.023367285799880167
98443,191,166,0.5564455045954532
1,191,182,5.652463909017941e-06
0,191,78,0.0
0,191,143,0.0
0,191,0,0.0
13302,191,12,0.07518907491775666
14087,191,85,0.07962625908633574
908,191,130,0.005132437229388291
19,191,77,0.00010739681427134088
217,191,71,0.0012265846682568931
412,191,170,0.0023288151305153916
10055,191,86,0.056835524605175394
12,191,142,6.78295669082153e-05
296,191,129,0.0016731293170693105
126,191,119,0.0007122104525362605
19,191,109,0.00010739681427134088
324,191,74,0.0018313983065218128
0,191,191,0.0
3078,130,189,0.07570279642883494
3534,130,116,0.08691802552940309
5,130,131,0.0001229740032957033
27048,130,166,0.6652401682284365
872,130,191,0.021446666174770652
323,130,142,0.007944120612902433
517,130,12,0.01271551194077572
754,130,147,0.018544479696992057
1610,130,85,0.03959762906121646
1,130,77,2.4594800659140657e-05
50,130,71,0.001229740032957033
312,130,86,0.0076735778056518855
3,130,152,7.378440197742197e-05
190,130,129,0.004673012125236725
212,130,170,0.00521409773973782
3,130,109,7.378440197742197e-05
198,130,74,0.00486977053050985
62,130,36,0.0015248776408667208
826,130,18,0.020315305344450182
916,130,195,0.02252883740377284
145,130,132,0.003566246095575395
793,195,138,0.01740409094899482
2626,195,116,0.057633219208146784
4293,195,166,0.0942191203581775
560,195,193,0.01229040470546923
681,195,160,0.014946010007900974
36,195,44,0.0007900974453515934
1162,195,43,0.025502589763848654
64,195,172,0.001404617680625055
191,195,202,0.004191905890615398
9151,195,158,0.20083838117812308
73,195,161,0.0016021420419629533
215,195,159,0.004718637520849793
8838,195,201,0.19396892283381617
24,195,195,0.0005267316302343956
973,195,95,0.021354578175752786
6,195,106,0.0001316829075585989
99,195,204,0.002172767974716882
257,195,164,0.005640417873759986
2,195,147,4.389430251953297e-05
678,195,85,0.014880168554121675
2,195,46,4.389430251953297e-05
4466,195,86,0.09801597752611711
0,195,119,0.0
3,195,77,6.584145377929945e-05
6,195,168,0.0001316829075585989
0,195,189,0.0
114,195,115,0.002501975243613379
1753,195,129,0.03847335615837064
912,195,130,0.020015801948907033
1032,195,110,0.02264946010007901
4235,195,170,0.09294618558511106
2303,195,108,0.05054428935124221
8,195,186,0.00017557721007813187
8,195,36,0.00017557721007813187
4769,186,166,0.8205437026841018
2,186,76,0.00034411562284927734
13,186,129,0.002236751548520303
31,186,116,0.005333792154163799
537,186,85,0.09239504473503098
37,186,191,0.006366139022711631
20,186,130,0.0034411562284927736
5,186,77,0.0008602890571231934
23,186,95,0.0039573296627666895
25,186,142,0.004301445285615967
0,186,187,0.0
8,186,133,0.0013764624913971094
342,186,13,0.05884377150722643
0,95,107,0.0
14,95,138,0.002516627718856732
3530,95,166,0.6345497033974474
473,95,85,0.08502606507280244
19,95,119,0.003415423332734136
23,95,189,0.004134459823836059
982,95,195,0.1765234585655222
5,95,129,0.0008987956138774043
144,95,116,0.025885313679669245
160,95,191,0.028761459644076937
48,95,130,0.008628437893223082
13,95,77,0.002336868596081251
18,95,186,0.0032356642099586556
13,95,108,0.002336868596081251
2,95,109,0.0003595182455509617
12,95,182,0.0021571094733057704
27,95,74,0.004853496314937983
75,95,142,0.013481934208161064
4,95,137,0.0007190364911019234
1,95,170,0.00017975912277548085
2,71,2,0.00017095478246003932
3,71,66,0.000256432173690059
104,71,71,0.008889648687922044
8261,71,166,0.7061287289511924
3,71,77,0.000256432173690059
74,71,65,0.006325326951021455
239,71,12,0.0204290965039747
131,71,147,0.011197538251132575
96,71,116,0.008205829558081888
334,71,85,0.028549448670826566
335,71,191,0.028634926062056587
47,71,130,0.0040174373878109244
1578,71,189,0.13488332336097103
13,71,170,0.0011112060859902555
242,71,86,0.02068552867766476
165,71,142,0.014103769552953244
14,71,152,0.0011966834772202753
52,71,129,0.004444824343961022
1,71,119,8.547739123001966e-05
2,71,109,0.00017095478246003932
3,71,74,0.000256432173690059
0,71,67,0.0
203,189,129,0.0007063695043234685
147628,189,166,0.5136941733215025
24574,189,85,0.08550898620317693
2871,189,130,0.009990082989717626
1,189,189,3.4796527306574803e-06
19,189,95,6.611340188249212e-05
11,189,168,3.8276180037232285e-05
0,189,195,0.0
3812,189,116,0.013264436209266315
0,189,78,0.0
0,189,143,0.0
0,189,0,0.0
17345,189,12,0.060354576613253996
17605,189,147,0.06125928632322494
37007,189,191,0.1287715086034414
108,189,77,0.0003758024949110079
1403,189,71,0.004881952781112445
8500,189,170,0.029577048210588583
1675,189,86,0.005828418323851279
21849,189,142,0.07602693251213528
1050,189,152,0.003653635367190354
105,189,119,0.00036536353671903543
35,189,109,0.00012178784557301182
674,189,74,0.0023452859404631417
910,189,36,0.0031664839848983073
28141,170,166,0.610963960052106
46,170,119,0.000998697351280938
0,170,201,0.0
145,170,12,0.0031480677377333914
1308,170,147,0.028397742075553626
418,170,116,0.009075119409465914
1485,170,85,0.0322405557967868
401,170,191,0.008706035605731655
217,170,130,0.004711246200607902
27,170,77,0.0005861919235779418
35,170,71,0.0007598784194528875
9197,170,189,0.19967433782023447
311,170,86,0.006752062527138515
71,170,152,0.0015414676508901434
92,170,129,0.001997394702561876
4,170,109,8.684324793747286e-05
35,170,74,0.0007598784194528875
17,170,36,0.0003690838037342597
4103,170,195,0.08907946157186279
6,170,138,0.00013026487190620929
1,170,142,2.1710811984368215e-05
0,109,43,0.0
0,109,168,0.0
4,109,13,0.0003321707357581797
33,109,129,0.0027404085700049826
185,109,116,0.015362896528815811
10427,109,166,0.8658860654376349
891,109,85,0.07399103139013453
213,109,191,0.01768809167912307
27,109,130,0.002242152466367713
18,109,77,0.0014947683109118087
3,109,95,0.00024912805181863477
