flow,origin,destination,CL_origin,CL_destination,CC_origin,CC_destination,S_origin,S_destination,SC_origin,SC_destination,sum_origin,sum_destination
34220,12,166,232,128,0,0,0,313,3951,4271,4183,4712
1453,12,147,232,562,0,0,0,979,3951,23443,4183,24984
1494,12,116,232,166,0,0,0,112,3951,12436,4183,12714
10144,12,85,232,382,0,0,0,148,3951,32528,4183,33058
4048,12,191,232,580,0,0,0,172,3951,4432,4183,5184
235,12,130,232,3402,0,0,0,1270,3951,29932,4183,34604
53,12,77,232,68,0,0,0,0,3951,3341,4183,3409
1,12,71,232,36,0,0,0,4,3951,934,4183,974
13633,12,189,232,34,0,0,0,72,3951,26,4183,132
110,12,170,232,420,0,0,0,96,3951,7533,4183,8049
2248,12,86,232,284,0,0,0,701,3951,7047,4183,8032
121,12,142,232,758,0,0,0,64,3951,8296,4183,9118
67,12,152,232,328,0,0,0,199,3951,2504,4183,3031
211,12,129,232,22,0,0,0,204,3951,667,4183,893
6,12,119,232,28,0,0,0,30,3951,1618,4183,1676
49,12,95,232,342,0,0,0,243,3951,12438,4183,13023
17,12,108,232,73,0,0,0,138,3951,173,4183,384
256,12,109,232,1153,0,0,0,0,3951,12627,4183,13780
13,12,182,232,18,0,0,0,47,3951,51,4183,116
3,12,74,232,38,0,0,0,55,3951,4,4183,97
20,12,36,232,108,0,0,0,0,3951,998,4183,1106
20,12,138,232,106,0,0,0,75,3951,4767,4183,4948
989,12,11,232,8,0,0,0,0,3951,76,4183,84
762,147,130,562,3402,0,0,979,1270,23443,29932,24984,34604
62,147,195,562,268,0,0,979,291,23443,1344,24984,1903
1504,147,170,562,420,0,0,979,96,23443,7533,24984,8049
1559,147,12,562,232,0,0,979,0,23443,3951,24984,4183
1897,147,116,562,166,0,0,979,112,23443,12436,24984,12714
60163,147,166,562,128,0,0,979,313,23443,4271,24984,4712
6990,147,85,562,382,0,0,979,148,23443,32528,24984,33058
1,147,191,562,580,0,0,979,172,23443,4432,24984,5184
142,147,77,562,68,0,0,979,0,23443,3341,24984,3409
112,147,71,562,36,0,0,979,4,23443,934,24984,974
13705,147,189,562,34,0,0,979,72,23443,26,24984,132
1356,147,86,562,284,0,0,979,701,23443,7047,24984,8032
1160,147,152,562,328,0,0,979,199,23443,2504,24984,3031
394,147,129,562,22,0,0,979,204,23443,667,24984,893
115,147,119,562,28,0,0,979,30,23443,1618,24984,1676
20,147,186,562,124,0,0,979,25,23443,2703,24984,2852
127,147,95,562,342,0,0,979,243,23443,12438,24984,13023
149,147,108,562,73,0,0,979,138,23443,173,24984,384
306,147,109,562,1153,0,0,979,0,23443,12627,24984,13780
69,147,182,562,18,0,0,979,47,23443,51,24984,116
192,147,74,562,38,0,0,979,55,23443,4,24984,97
20,147,137,562,8,0,0,979,4,23443,48,24984,60
41,147,138,562,106,0,0,979,75,23443,4767,24984,4948
1612,147,37,562,0,0,0,979,218,23443,0,24984,218
319,147,41,562,0,0,0,979,96,23443,0,24984,96
0,116,199,166,32,0,0,112,180,12436,294,12714,506
2491,116,195,166,268,0,0,112,291,12436,1344,12714,1903
1447,116,12,166,232,0,0,112,0,12436,3951,12714,4183
1958,116,147,166,562,0,0,112,979,12436,23443,12714,24984
40200,116,166,166,128,0,0,112,313,12436,4271,12714,4712
3087,116,85,166,382,0,0,112,148,12436,32528,12714,33058
2171,116,191,166,580,0,0,112,172,12436,4432,12714,5184
2865,116,130,166,3402,0,0,112,1270,12436,29932,12714,34604
844,116,77,166,68,0,0,112,0,12436,3341,12714,3409
113,116,71,166,36,0,0,112,4,12436,934,12714,974
3827,116,189,166,34,0,0,112,72,12436,26,12714,132
400,116,170,166,420,0,0,112,96,12436,7533,12714,8049
685,116,86,166,284,0,0,112,701,12436,7047,12714,8032
751,116,142,166,758,0,0,112,64,12436,8296,12714,9118
313,116,152,166,328,0,0,112,199,12436,2504,12714,3031
300,116,129,166,22,0,0,112,204,12436,667,12714,893
31,116,186,166,124,0,0,112,25,12436,2703,12714,2852
86,116,95,166,342,0,0,112,243,12436,12438,12714,13023
129,116,108,166,73,0,0,112,138,12436,173,12714,384
182,116,109,166,1153,0,0,112,0,12436,12627,12714,13780
52,116,182,166,18,0,0,112,47,12436,51,12714,116
131,116,74,166,38,0,0,112,55,12436,4,12714,97
100,116,36,166,108,0,0,112,0,12436,998,12714,1106
14,116,137,166,8,0,0,112,4,12436,48,12714,60
38,116,138,166,106,0,0,112,75,12436,4767,12714,4948
1446,116,18,166,66,0,0,112,0,12436,1553,12714,1619
33441,166,12,128,232,0,0,313,0,4271,3951,4712,4183
0,166,43,128,0,0,0,313,0,4271,0,4712,0
0,166,135,128,12,0,0,313,4,4271,8,4712,24
5807,166,71,128,36,0,0,313,4,4271,934,4712,974
116884,166,189,128,34,0,0,313,72,4271,26,4712,132
745,166,67,128,0,0,0,313,32,4271,0,4712,32
457,166,66,128,12,0,0,313,6,4271,264,4712,282
60326,166,147,128,562,0,0,313,979,4271,23443,4712,24984
40014,166,116,128,166,0,0,313,112,4271,12436,4712,12714
90351,166,85,128,382,0,0,313,148,4271,32528,4712,33058
72389,166,191,128,580,0,0,313,172,4271,4432,4712,5184
24940,166,130,128,3402,0,0,313,1270,4271,29932,4712,34604
12269,166,77,128,68,0,0,313,0,4271,3341,4712,3409
20269,166,170,128,420,0,0,313,96,4271,7533,4712,8049
36026,166,86,128,284,0,0,313,701,4271,7047,4712,8032
36475,166,142,128,758,0,0,313,64,4271,8296,4712,9118
11544,166,152,128,328,0,0,313,199,4271,2504,4712,3031
12229,166,129,128,22,0,0,313,204,4271,667,4712,893
5531,166,119,128,28,0,0,313,30,4271,1618,4712,1676
2805,166,186,128,124,0,0,313,25,4271,2703,4712,2852
3822,166,95,128,342,0,0,313,243,4271,12438,4712,13023
6934,166,108,128,73,0,0,313,138,4271,173,4712,384
9186,166,109,128,1153,0,0,313,0,4271,12627,4712,13780
4691,166,182,128,18,0,0,313,47,4271,51,4712,116
8132,166,74,128,38,0,0,313,55,4271,4,4712,97
4473,166,36,128,108,0,0,313,0,4271,998,4712,1106
1314,166,137,128,8,0,0,313,4,4271,48,4712,60
2130,166,138,128,106,0,0,313,75,4271,4767,4712,4948
3263,166,18,128,66,0,0,313,0,4271,1553,4712,1619
3276,166,158,128,8,0,0,313,28,4271,28,4712,64
4405,166,195,128,268,0,0,313,291,4271,1344,4712,1903
1008,166,61,128,6,0,0,313,0,4271,11,4712,17
355,166,201,128,8,0,0,313,0,4271,1074,4712,1082
608,166,89,128,8,0,0,313,0,4271,1439,4712,1447
1170,166,110,128,228,0,0,313,362,4271,4085,4712,4675
366,166,0,128,0,0,0,313,37,4271,0,4712,37
362,166,153,128,38,0,0,313,181,4271,1623,4712,1842
1350,166,76,128,88,0,0,313,0,4271,556,4712,644
844,166,73,128,92,0,0,313,0,4271,629,4712,721
0,85,110,382,228,0,0,148,362,32528,4085,33058,4675
611,85,158,382,8,0,0,148,28,32528,28,33058,64
10010,85,12,382,232,0,0,148,0,32528,3951,33058,4183
7028,85,147,382,562,0,0,148,979,32528,23443,33058,24984
3009,85,116,382,166,0,0,148,112,32528,12436,33058,12714
91187,85,166,382,128,0,0,148,313,32528,4271,33058,4712
9543,85,191,382,580,0,0,148,172,32528,4432,33058,5184
1951,85,130,382,3402,0,0,148,1270,32528,29932,33058,34604
470,85,77,382,68,0,0,148,0,32528,3341,33058,3409
630,85,71,382,36,0,0,148,4,32528,934,33058,974
22297,85,189,382,34,0,0,148,72,32528,26,33058,132
975,85,170,382,420,0,0,148,96,32528,7533,33058,8049
117,85,86,382,284,0,0,148,701,32528,7047,33058,8032
2877,85,142,382,758,0,0,148,64,32528,8296,33058,9118
638,85,152,382,328,0,0,148,199,32528,2504,33058,3031
116,85,119,382,28,0,0,148,30,32528,1618,33058,1676
104,85,186,382,124,0,0,148,25,32528,2703,33058,2852
250,85,95,382,342,0,0,148,243,32528,12438,33058,13023
54,85,108,382,73,0,0,148,138,32528,173,33058,384
341,85,109,382,1153,0,0,148,0,32528,12627,33058,13780
1815,85,74,382,38,0,0,148,55,32528,4,33058,97
212,85,36,382,108,0,0,148,0,32528,998,33058,1106
2914,85,137,382,8,0,0,148,4,32528,48,33058,60
132,85,138,382,106,0,0,148,75,32528,4767,33058,4948
1019,85,135,382,12,0,0,148,4,32528,8,33058,24
303,85,76,382,88,0,0,148,0,32528,556,33058,644
545,191,170,580,420,0,0,172,96,4432,7533,5184,8049
5271,191,12,580,232,0,0,172,0,4432,3951,5184,4183
2232,191,116,580,166,0,0,172,112,4432,12436,5184,12714
72959,191,166,580,128,0,0,172,313,4432,4271,5184,4712
9859,191,85,580,382,0,0,172,148,4432,32528,5184,33058
893,191,130,580,3402,0,0,172,1270,4432,29932,5184,34604
270,191,77,580,68,0,0,172,0,4432,3341,5184,3409
137,191,71,580,36,0,0,172,4,4432,934,5184,974
23345,191,189,580,34,0,0,172,72,4432,26,5184,132
4520,191,86,580,284,0,0,172,701,4432,7047,5184,8032
4,191,152,580,328,0,0,172,199,4432,2504,5184,3031
510,191,129,580,22,0,0,172,204,4432,667,5184,893
