Code,Aggregate_ID
EOH,9
BOG,2
MDE,13
CTG,4
CLO,3
SJE,96
AUC,51
CPB,89
MTR,14
BAQ,1
BGA,7
CUC,8
EYP,10
IBE,152
LET,12
NVA,15
PEI,16
PUU,18
SMR,19
UIB,20
VUP,21
VVC,22
APO,153
AXM,6
EJA,23
MZL,25
PSO,26
FLA,24
PPN,17
RCH,27
TCO,28
CZU,33
CAQ,59
NAR,112
BOC,281
CRU,187
ELB,42
MMP,47
MGN,46
LJB,50
BEC,56
BVA,40
LMN,286
TBU,84
AGH,55
GYM,31
7GL,50
LLO,50
7GZ,128
PIP,73
LVB,48
MBO,181
MED,260
AGY,55
LJC,50
MCJ,136
CAL,55
LMA,36
PBO,37
PVO,88
FLR,21
STR,97
AGC,55
RVE,51
BUN,53
ACD,89
LJD,56
LPL,285
SSO,181
TLU,58
IDA,99
LMC,105
7IW,1
9NB,134
PCR,91
CVN,30
LGL,134
MTB,168
LFL,21
GIR,110
CGW,16
A04,41
MQU,111
OTU,81
ELS,76
ETO,7
IRH,68
MLG,71
SNL,69
SVT,78
ALT,225
ECC,65
LCI,69
PTW,203
ZPS,98
OCV,72
SBT,55
AFC,55
CIM,64
SGL,76
GER,67
SRV,83
OCU,225
TME,61
SRO,245
MLR,54
7GD,116
PGT,186
SBD,55
PWI,203
SCA,52
CRM,50
LPR,214
EJU,15
MDA,137
BCA,39
BSA,63
2RS,95
9BW,186
HTZ,90
HCZ,90
RCN,205
AFI,166
RDN,196
SNP,178
PIM,214
PTC,176
PGP,186
SIS,86
UMB,22
PTL,121
MTU,192
PCE,176
PID,99
SVI,108
VGP,109
LQM,106
9DI,218
BMG,176
CCO,186
CPL,114
MAP,183
PBE,82
MVP,86
ORE,225
7NS,186
7NT,186
LAR,158
LVE,241
ORC,225
VLA,127
CGA,19
COG,129
TQS,143
LEV,133
NQU,138
9BF,50
IPI,103
PZA,92
PGM,186
EBG,41
ACR,102
ORI,139
BSC,123
TBQ,159
BEE,152
GPI,115
URM,184
HAC,49
SOX,107
QQA,127
FOR,284
TIB,57
BGN,185
LCH,104
PBR,172
SIN,192
MTS,255
PQE,111
TAP,12
EPY,151
9M1,143
CAS,95
CAO,176
7GS,176
AGT,243
PLN,21
9M2,24
APY,22
PRI,172
ULQ,144
CDY,105
4JC,53
LPA,281
AGU,237
CEN,2
CPE,151
MTT,86
DEL,225
EAS,88
NUE,155
CAN,236
HEL,2
LAD,50
LOS,216
TRD,155
BBA,157
NAT,204
SJP,137
MAA,90
SBN,115
SCY,152
BNE,3
CBR,181
CHA,216
CHO,22
ELM,55
ELP,3
LFT,259
MFR,86
MSN,86
MSO,273
TRI,155
BAC,127
SPO,162
BER,56
LAP,90
PEN,111
SLU,69
CAI,2
DAR,290
LOC,173
JUR,219
MTP,192
SAS,128
ELA,286
URR,165
CEB,171
7FZ,155
SPD,52
PPT,152
ORH,19
RAV,141
PRC,245
A03,83
LAO,285
VDF,85
CPC,123
LGP,96
PFO,49
CAM,219
SRS,88
SSL,216
8BZ,168
9BZ,95
LCM,200
CAP,194
MIB,86
SDA,216
A68,89
PLA,114
ECR,115
VCC,205
GLJ,130
EPR,152
LPD,117
LCT,243
ARA,51
ECO,104
TRP,175
A06,104
ARC,225
PCA,169
PUR,12
CLM,284
A13,273
MCO,91
BND,20
CAC,23
CUM,259
SNR,192
LGM,48
SFC,130
PMO,15
BQL,194
PRO,21
CAG,21
URA,37
MTC,264
MFS,194
9CD,90
9LQ,186
GRM,176
7FU,186
LAM,22
7HB,186
7HF,214
7HX,214
9DE,214
MYY,86
SIR,225
7HJ,128
7HT,90
PCJ,183
7HM,176
LAH,128
9CI,90
CBY,172
PUE,195
LAU,192
SGU,205
GRN,217
7GF,90
A01,99
SMT,192
VVN,22
MCH,141
MKA,251
MCL,86
PZR,90
LPG,214
9BB,186
LGT,176
7HG,90
LVC,57
MRF,194
SAD,21
ELI,236
MIT,273
CRL,22
MTI,86
PUL,200
7GH,91
7GC,155
9AO,206
7HV,214
FCA,237
PII,99
ARQ,244
A02,99
LOM,128
MVU,86
LJV,214
VVD,22
ETA,214
PLP,186
9BI,155
MCP,273
SLM,217
9AT,186
MII,128
MAN,128
GUE,185
MCG,96
CRN,48
TOC,225
PRR,176
SNU,205
7NQ,214
NFA,261
LPV,214
TPI,96
VAR,108
PLS,241
CRS,225
PVY,151
9MW,186
FUL,192
7IH,186
MPI,255
PLO,241
LAC,22
LEM,22
VVA,229
CAV,176
9BY,155
9MS,155
GUS,214
CVS,3
7HD,214
7HE,286
PGA,57
MUR,86
TDA,155
MTN,273
7IK,245
7IF,214
FDA,151
7IY,214
7HC,214
A09,99
MAG,135
9AV,22
CAH,259
SAA,155
MYA,86
CMA,22
PRE,176
7KA,176
7HN,90
PLD,22
9DJ,21
7GV,90
9NI,51
7IA,128
7IV,214
PRB,22
TDI,155
A07,96
TAU,225
7KE,91
AMN,6
PET,84
PZI,92
LRA,291
PDR,92
9AI,90
9AZ,194
CAA,194
LLI,155
NUC,155
ORS,155
YPP,10
9AS,155
ORO,225
ORA,225
9CG,90
YPL,225
9LW,236
MNO,237
9LI,197
VNU,127
9BE,90
7GI,155
9CH,90
9CB,90
